,borough,zip_codes
0,Bronx,"[10459. 10466.    nan 10451. 10469. 10458. 10456. 10452. 10457. 10461.
 10467. 10462. 10468. 10473. 10472. 10463. 10464. 10474. 10470. 10460.
 10465. 10455. 10454. 10453. 10471. 10475. 10476.   104. 10482. 10987.
 10549.   466. 10495.]"
1,Brooklyn,"[ 11221.  11238.  11207.  11220.  11209.  11237.  11205.  11224.  11213.
     nan  11217.  11235.  11206.  11229.  11228.  11216.  11252.  11214.
  11208.  11233.  11215.  11226.  11230.  11225.  11201.  11234.  11231.
  11204.  11223.  11027.  11219.  11212.  11218.  11222.  11249.  11232.
  11211.  11236.  11203.  11239.  11210.  11202.  11227.  11243.  48064.
 112238. 112006.]"
2,Manhattan,"[10026. 10128. 10010.    nan 10004. 10031. 10013. 10024. 10019. 10029.
 10032. 10075. 10009. 10034. 10065. 10030. 10025. 10033. 10035. 10038.
 10022. 10002. 10044. 10021. 10023. 10027. 10016. 10001. 10036. 10003.
 10014. 10011. 10028. 10472. 10039. 10037. 10012. 11373. 10280. 10040.
 10062. 10069. 10017. 10006. 10018. 10005. 11209. 10007. 10285. 10282.
 10465. 11378. 10473. 11385. 10281. 10469.]"
3,Queens,"[   nan 11434. 11412. 11357. 11421. 11433. 11356. 11370. 11355. 11422.
 11368. 11417. 11423. 11418. 11373. 11361. 11693. 11377. 11102. 11101.
 11106. 11369. 11385. 11358. 11374. 11354. 11691. 11411. 11109. 11364.
 11419. 11363. 11365. 11436. 11372. 11435. 11432. 11366. 11004. 11692.
 11362. 11105. 11378. 11104. 11420. 11415. 11694. 11103. 11375. 11413.
 11379. 11416. 11429. 11371. 11414. 11367. 11428. 11427. 11426. 11360.
 11001. 10075. 11003. 11040. 11430. 11697. 11005. 10007.]"
4,Staten Island,"[   nan 10310. 10303. 10301. 10309. 10302. 10308. 10312. 10305. 10306.
 10314. 10304. 10307.]"
