year,borough,breed
2015,Bronx,"pit bull, american pit bull mix / pit bull mix, shih tzu"
2015,Brooklyn,"american pit bull terrier/pit bull, pit bull, american pit bull mix / pit bull mix"
2015,Manhattan,"pit bull, american pit bull mix / pit bull mix, shih tzu"
2015,Queens,"pit bull, maltese, german shepherd"
2015,Staten Island,"pit bull, mixed/other, labrador retriever"
,,
2016,Bronx,"pit bull, chihauhau, shih tzu"
2016,Brooklyn,"pit bull, american pit bull terrier/pit bull, american pit bull mix / pit bull mix"
2016,Manhattan,"pit bull, american pit bull mix / pit bull mix, american pit bull terrier/pit bull"
2016,Queens,"pit bull, shih tzu, german shepherd"
2016,Staten Island,"pit bull, american pit bull mix / pit bull mix, shih tzu"
,,
2017,Bronx,"pit bull, american pit bull mix / pit bull mix, shih tzu"
2017,Brooklyn,"pit bull, american pit bull terrier/pit bull, shih tzu"
2017,Manhattan,"pit bull, mixed/other, american pit bull mix / pit bull mix"
2017,Queens,"pit bull, shih tzu, german shepherd"
2017,Staten Island,"pit bull, german shepherd, chihuahua"
,,
2018,Bronx,"pit bull, mixed/other, mixed breed"
2018,Brooklyn,"mixed breed, american pit bull mix / pit bull mix, pit bull"
2018,Manhattan,"mixed/other, pit bull, mixed breed"
2018,Queens,"pit bull, mixed breed, shih tzu"
2018,Staten Island,"pit bull, mixed/other, german shepherd"
,,
2019,Bronx,"pit bull, mixed/other, yorkshire terrier"
2019,Brooklyn,"mixed breed, pit bull, german shepherd"
2019,Manhattan,"unknown, pit bull, mixed/other"
2019,Queens,"pit bull, mixed breed, german shepherd"
2019,Staten Island,"pit bull, german shepherd, mixed"
,,
2020,Bronx,"pit bull, shih tzu, chihuahua"
2020,Brooklyn,"mixed breed, pit bull, mixed"
2020,Manhattan,"unknown, pit bull, chihuahua"
2020,Queens,"mixed, pit bull, shih tzu"
2020,Staten Island,"pit bull, large mixed breed, unknown"
,,
2021,Bronx,"pit bull, large mix breed, large mixed breed"
2021,Brooklyn,"mixed, mixed breed, pit bull"
2021,Manhattan,"unknown, pit bull, pitbull mix"
2021,Queens,"pit bull, mixed, american pit bull mix / pit bull mix"
2021,Staten Island,"pit bull, large mixed breed, unknown, medium mixed breed"
,,
2022,Bronx,"pit bull, unknown, mixed"
2022,Brooklyn,"mixed, unknown, pit bull"
2022,Manhattan,"unknown, pit bull, yorkshire terrier"
2022,Queens,"mixed, pit bull, american pit bull mix / pit bull mix"
2022,Staten Island,"pit bull, unknown, large mixed breed"
